source_track_id,source_Track Name,source_Artist Name(s),source_Danceability,source_Energy,source_Key,source_Loudness,source_Mode,source_Speechiness,source_Acousticness,source_Instrumentalness,source_Liveness,source_Valence,source_Tempo,source_pid,source_region_genre_id,source_position,source_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_pid,target_region_genre_id,target_position,target_pid_position,label
3jJ5HgLRNydtLRghjWVaCG,Kabira (Encore),Pritam;Harshdeep Kaur;Arijit Singh;Amitabh Bhattacharya,0.611,0.612,2.0,-7.978,1.0,0.114,0.441,0.0,0.18,0.898,171.841,3,hindi_chill_lyrics,75,3_75,5wdkKS3kWXBU9bklLVsAFs,Ilahi (Reprise),Pritam;Mohit Chauhan;Amitabh Bhattacharya,0.568,0.921,9.0,-4.558,1.0,0.0771,0.277,3.59e-06,0.151,0.647,131.903,3.0,hindi_chill_lyrics,76.0,3_76,1
1dJJkUvWa4JCgdpoURkWau,Starling's Song,Avery's Ambient,0.145,0.00305,2.0,-41.031,1.0,0.0561,0.967,0.666,0.0987,0.0386,137.293,28,western_sleep,14,28_14,000PqTyXjCLX8OF0VFASGs,"Parichayam Avakunda (From ""Dhandoraa"")",Mark K Robin;Sri Krishna;Harini Ivaturi;Sreemani,0.528,0.374,7.0,-12.136,1.0,0.0296,0.775,0.000216,0.0942,0.305,89.975,,,,,0
6foVpQQXApEJ7SgJqWgzbC,Kondakaki,Jassie Gift;KK;Sujatha,0.775,0.894,7.0,-7.057,0.0,0.181,0.0982,0.000154,0.0549,0.716,112.929,11,telugu_chill_lyrics,36,11_36,77ePeF9L2QKvKrSsWpJXBF,Suave (Kiss Me) (feat. Mohombi & Pitbull),Nayer,0.732,0.945,10.0,-4.056,0.0,0.137,0.0351,0.0,0.28,0.636,127.949,,,,,0
3AYHI7qsr1lVLGieNgCpkf,Skyscraper,Sorai,0.673,0.382,11.0,-13.775,1.0,0.0555,0.949,0.946,0.115,0.402,170.021,25,western_focus,46,25_46,5nH4IicA1G7pxIfgHPZNp0,Evoke,Michael Frankenberger,0.328,0.0803,10.0,-27.561,1.0,0.0398,0.994,0.896,0.102,0.175,111.759,,,,,0
2RBvwQI858xReQpWSRO866,Moon (Feat. Bon Iver),Daniel Caesar;Bon Iver,0.472,0.363,6.0,-12.262,1.0,0.0344,0.786,0.00479,0.101,0.171,139.928,6,hindi_sleep,83,6_83,36qXv23TgwXtXefaLIBt17,Timeless Space,Richome,0.263,0.0826,2.0,-24.91,1.0,0.0349,0.896,0.772,0.101,0.17,142.308,,,,,0
4e9dIemIXO8Tzg0k4aWujk,"Raabta (Title Track) [From ""Raabta""]",Pritam;Arijit Singh;Nikhita Gandhi,0.636,0.701,5.0,-6.825,1.0,0.0363,0.414,0.0,0.106,0.352,113.886,3,hindi_chill_lyrics,89,3_89,0FwrlIcmlaieiPrgv0FZv7,Blue Eclipse,ømbrā,0.385,0.0227,1.0,-29.408,1.0,0.0351,0.946,0.934,0.0848,0.0384,131.886,,,,,0
3kSBSSsXtebECjCggW87yq,Sultan,Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil,0.669,0.866,2.0,-6.628,1.0,0.0499,0.0589,0.0,0.0463,0.288,119.992,7,hindi_study,2,7_2,5gTCp2dIRTLgJ8ZZllw0bR,Thinking About You,Beck,0.553,0.356,7.0,-9.022,1.0,0.0282,0.83,0.31,0.14,0.382,125.677,,,,,0
2ak7xmwbLAADnngfYpLKuD,never gonna break your heart,Trevor Hall,0.587,0.502,2.0,-9.709,1.0,0.0383,0.289,0.00148,0.107,0.279,83.021,4,hindi_sleep,54,4_54,3FcseYxP7eeE7ihwgz2U2c,MONTERO (Call Me By Your Name),YES YES;Jaxomy,0.746,0.826,8.0,-5.208,0.0,0.197,0.013,0.0,0.111,0.499,99.965,,,,,0
5URlLDqCGAoMPHJm3DPACy,Teri Khushboo - Lofi Flip,Kritiman Mishra;Arijit Singh;Jeet Gannguli;Bollywood Lofi,0.694,0.604,7.0,-8.699,0.0,0.0436,0.00217,0.000179,0.107,0.121,119.976,27,western_sleep,94,27_94,4ATVEGG3gmcWXLXFzzyCn1,duskwater,ist;Unknown Melodiez;Righteousness,0.0753,0.0497,0.0,-31.281,0.0,0.0443,0.879,0.703,0.133,0.048,176.691,,,,,0
6LuDhpqmuIxxOohDg4qNzw,Middle,Febration,0.76,0.826,7.0,-4.631,1.0,0.0556,0.00341,5.15e-05,0.315,0.486,126.107,19,western_dj,41,19_41,2SyVdOenmbDSjUGoFprS2x,Alanati Ramachandrudu,Jikki;Sunitha;Sandhya,0.435,0.794,7.0,-7.274,1.0,0.068,0.526,0.000477,0.116,0.784,94.534,,,,,0
