pid,region_genre_id,input_Danceability,input_Energy,input_Key,input_Loudness,input_Mode,input_Speechiness,input_Acousticness,input_Instrumentalness,input_Liveness,input_Valence,input_Tempo,input_track_id,input_Track Name,input_Artist Name(s),input_pid_position,target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_track_id,target_Track Name,target_Artist Name(s),target_pid_position
1,hindi_chill_lyrics,0.906,0.811,7.0,-5.862,1.0,0.278,0.393,1.28e-05,0.0703,0.667,130.024,4dCLUBJwtZwc4HYXvfcpyP,Untitled,KR$NA,1_33,0.8,0.869,1.0,-6.11,1.0,0.0872,0.495,1.61e-06,0.16,0.681,102.038,5jaV01AxZDomsbwVAAZfxN,Living Legend,KR$NA;Rashmeet Kaur,1_34
1,hindi_chill_lyrics,0.8,0.869,1.0,-6.11,1.0,0.0872,0.495,1.61e-06,0.16,0.681,102.038,5jaV01AxZDomsbwVAAZfxN,Living Legend,KR$NA;Rashmeet Kaur,1_34,0.558,0.886,5.0,-8.556,0.0,0.0508,0.0156,2.9e-05,0.345,0.063,78.256,5M2f7YbqT2m2uOlUJNkDIP,Sam Dam Dand Bhed,Kailash Kher;Bapi-Tutul;Sandeep Nath,1_35
1,hindi_chill_lyrics,0.558,0.886,5.0,-8.556,0.0,0.0508,0.0156,2.9e-05,0.345,0.063,78.256,5M2f7YbqT2m2uOlUJNkDIP,Sam Dam Dand Bhed,Kailash Kher;Bapi-Tutul;Sandeep Nath,1_35,0.536,0.438,7.0,-12.894,1.0,0.103,0.119,0.0,0.129,0.127,144.626,5aa4zMfrJ16iDnS6UIKtlL,Aasman Ko Chukar,Daler Mehndi;Hrishikesh;Neuman;FRANCO;Shazneen Arethna;Samantha;Sunayana;Tapas Relia,1_36
1,hindi_chill_lyrics,0.536,0.438,7.0,-12.894,1.0,0.103,0.119,0.0,0.129,0.127,144.626,5aa4zMfrJ16iDnS6UIKtlL,Aasman Ko Chukar,Daler Mehndi;Hrishikesh;Neuman;FRANCO;Shazneen Arethna;Samantha;Sunayana;Tapas Relia,1_36,0.681,0.9,2.0,-5.232,0.0,0.0525,0.172,0.0,0.142,0.731,105.973,4MJBN7CfGnOY5GZ76LGbgd,Jashn-e-Ishqa,Sohail Sen;Javed Ali;Shadab Faridi;Irshad Kamil,1_37
1,hindi_chill_lyrics,0.681,0.9,2.0,-5.232,0.0,0.0525,0.172,0.0,0.142,0.731,105.973,4MJBN7CfGnOY5GZ76LGbgd,Jashn-e-Ishqa,Sohail Sen;Javed Ali;Shadab Faridi;Irshad Kamil,1_37,0.771,0.757,1.0,-6.517,1.0,0.2,0.035,0.0,0.818,0.507,95.014,6w6D4f9DbVxxWbnf5N9VdD,Shoorveer,Rapperiya Baalam;Rajneesh Jaipuri,1_38
1,hindi_chill_lyrics,0.771,0.757,1.0,-6.517,1.0,0.2,0.035,0.0,0.818,0.507,95.014,6w6D4f9DbVxxWbnf5N9VdD,Shoorveer,Rapperiya Baalam;Rajneesh Jaipuri,1_38,0.715,0.715,0.0,-8.443,1.0,0.0892,0.179,0.0126,0.147,0.199,125.007,4HKwYkPAmpmuy5eMr8k7w0,Gussa,Sukhwinder Singh,1_39
1,hindi_chill_lyrics,0.715,0.715,0.0,-8.443,1.0,0.0892,0.179,0.0126,0.147,0.199,125.007,4HKwYkPAmpmuy5eMr8k7w0,Gussa,Sukhwinder Singh,1_39,0.548,0.761,11.0,-9.361,1.0,0.0858,0.248,0.0,0.153,0.129,81.041,1Q6v9QNIEetyTcqlpvF2iI,Jalwa Re Jalwa,Kailash Kher;Sunayana Sarkar Dasgupta,1_40
1,hindi_chill_lyrics,0.548,0.761,11.0,-9.361,1.0,0.0858,0.248,0.0,0.153,0.129,81.041,1Q6v9QNIEetyTcqlpvF2iI,Jalwa Re Jalwa,Kailash Kher;Sunayana Sarkar Dasgupta,1_40,0.697,0.699,10.0,-5.425,0.0,0.0404,0.0499,0.0,0.0961,0.328,120.033,0mHsQ8g61NIao1qGgnkOm1,Ravan,VILEN,1_41
1,hindi_chill_lyrics,0.697,0.699,10.0,-5.425,0.0,0.0404,0.0499,0.0,0.0961,0.328,120.033,0mHsQ8g61NIao1qGgnkOm1,Ravan,VILEN,1_41,0.768,0.727,7.0,-7.31,1.0,0.142,0.229,0.0,0.127,0.591,95.019,4BLqBzCkmC4rA9pYzjr0Hq,Shoorveer III,Rapperiya Baalam;SHAMBHO;Rajneesh Jaipuri;Jagirdar RV;Meetu Solanki,1_42
1,hindi_chill_lyrics,0.768,0.727,7.0,-7.31,1.0,0.142,0.229,0.0,0.127,0.591,95.019,4BLqBzCkmC4rA9pYzjr0Hq,Shoorveer III,Rapperiya Baalam;SHAMBHO;Rajneesh Jaipuri;Jagirdar RV;Meetu Solanki,1_42,0.726,0.818,6.0,-6.522,0.0,0.176,0.538,1.01e-06,0.111,0.812,92.033,0RGp4KA9wvndxqPIWoKwnD,Yalgaar,Ajey Nagar (CarryMinati);Wily Frenzy,1_43
