track_id,track_name,audio_path,audio_relative_path
1b2nrwUSqVPuamGbTRKIkw,Moonlight Sonata: Beethoven Reimagined - Felt Piano Version,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\46. Moonlight Sonata_ Beethoven Reimagined - Felt Piano Version.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\46. Moonlight Sonata_ Beethoven Reimagined - Felt Piano Version.mp3"
2Tfr41ntUcxfRys9DMQ0Ro,Ascending,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\47. Ascending.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\47. Ascending.mp3"
0eSuFLQBYy7wjG1loM2nOc,Murmures,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\48. Murmures.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\48. Murmures.mp3"
4x0qIEm0FafoHZ6y3kVbgl,Warmness,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\49. Warmness.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\49. Warmness.mp3"
3ezgVb2AeRxCuOt1USBCbp,The Stream,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\52. The Stream.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\52. The Stream.mp3"
3z4QG3QzCPKn98Qnp6cFwr,A Life of Bittersweet,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\53. A Life of Bittersweet.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\53. A Life of Bittersweet.mp3"
0ACcJ05Y6tMsluIzRrgrkj,Colours,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\54. Colours.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\54. Colours.mp3"
4zcKyIY2Y5RQds4AJg1HQD,"Nocturne, Op.16","C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\55. Nocturne, Op.16.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\55. Nocturne, Op.16.mp3"
1d90rfN1uJjxcV4dOYXq9d,Élégie,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\56. Élégie.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\56. Élégie.mp3"
0kdLwKdb2rYq1WG8ASXllm,Noam,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\57. Noam.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\57. Noam.mp3"
